Name,Year,Rating,Runtime,Votes
Kaali Khuhi,2020,3.4,90,1032
Love Aaj Kal,2020,4.7,142,6992
Raksha Bandhan,2021,,,
Qala,2021,,,
Garbage,2018,3.4,105,950
Searching for Sheela,2021,4.1,58,553
Pagalpanti,2019,3.2,149,2118
Bhool Bhulaiyaa 2,2021,,,
Nympho: The Lust Story,2020,5.3,104,31
Paharganj,2019,4.5,108,786
Junglee,2019,5.6,115,1657
Dhadak,2018,4.5,138,9396
Cirkus,2022,,112,
Dhamaka,2021,,,
Thalaivi,,,130,
Shabaash Mithu,2021,,,
Raid,2018,7.4,122,15831
Tottaa Pataaka Item Maal,2019,7.6,107,1361
102 Not Out,2018,7.4,102,6618
Rajma Chawal,2018,5.8,117,1698
Dobaaraa,2021,,,
Anek,2021,,,
Half Dracula,2021,,100,
Koochie Koochie Hota Hai,2021,,,
Harami,2020,7.7,100,957
Ghoomketu,2020,5.5,108,2708
Mr Lele,,,,
Kick 2,,,,
Ateet,2020,4.3,120,203
Ram Singh Charlie,2020,8,104,1270
Action,2019,4.5,158,857
Raahgir,2019,7.4,85,27
The Intern,2022,,,
Chhapaak,2020,5.1,120,25068
Dasvi,2021,,,
Rocketry: The Nambi Effect,2021,,,
Kira: The Return of the Unknown,,,100,
Gaurav Gupta: Market Down Hai,2021,7.5,50,224
Kaalakaandi,2018,6.3,112,2612
Prithviraj,2021,,,
Mosagallu,2021,8,85,1044
Lahore Confidential,2021,2.8,68,521
Jayeshbhai Jordaar,2021,,,
Ponniyin Selvan,2022,,,
The Tenant,2021,,112,
Ram Setu,,,,
Sui Dhaaga: Made in India,2018,6.8,122,7420
Gumnaami,2019,7.8,142,1694
Barot House,2019,7.3,89,1134
Saand Ki Aankh,2019,7.7,146,4210
Satyameva Jayate 2,2021,,122,
Beautiful,2020,8.5,123,13
Mission Majnu,,,,
Shakuntala Devi,2020,6.1,127,8456
Saheb Biwi Aur Gangster 3,2018,4.4,140,744
Officer Arjun Singh IPS,2019,8,120,91
Adipurush,2022,,,
14 Phere,2021,,,
Dostana 2,2021,,,
House Arrest,2019,5.5,104,1486
Amavas,2019,2.8,134,308
Balakot: the true story,2020,,,
Mumbaikar,2021,,,
My Darling,2021,7.4,80,63
Borderlands,2021,9,,7
Ek Ladki Ko Dekha Toh Aisa Laga,2019,5.5,120,3934
Who,2018,5.1,153,260
India's Most Wanted,2019,4.5,123,1991
Bhaiaji Superhit,2018,3.9,139,553
12 O'Clock,2021,4.4,155,62
Manikarnika: The Queen of Jhansi,2019,6.4,148,10229
The Birth: 10000 BC,2021,,,
Sam Bahadur,2021,,,
Takht,,,,
The Battle of Bhima Koregaon,2021,,,
Pitta Kathalu,2021,5,150,626
Jamun,2021,7.5,92,409
Aankhen 2,2021,,,
Chhappad Phaad Ke,2019,6.3,90,954
Attack,2021,,,
Vodka Diaries,2018,5.6,120,1287
Phone Bhoot,2021,,,
Paani,,,,
Golmaal 5,,,,
Kuchh Bheege Alfaaz,2018,7.5,116,820
Ujda Chaman,2019,6.9,120,4944
Chandigarh Kare Aashiqui,2021,,,
Writing with Fire,2021,8.1,92,106
Yaara,2020,6.3,130,3954
Bypass Road,2019,5.4,137,890
Love Will Take Over,2018,3,140,2091
Thackeray,2019,5.2,120,3004
Hamid,2018,7.8,108,1054
Alibaug,,,,
Kaanchli Life in a Slough,2020,7.3,101,85
Haunted Hills,2020,6.7,102,31
Bhoot: Part One - The Haunted Ship,2020,5.4,114,4236
Bob Biswas,,,,
Fiza Mein Tapish,2021,,125,
X Zone,2020,2.7,97,50
Project Kahuta,2021,,82,
Kanpuriye,2019,6.3,103,1098
Nawabzaade,2018,4.4,112,877
Jalebi,2018,6,112,2479
Pailwaan,2019,6.4,166,1670
Mimi,2021,,,
Kabhi Eid Kabhi Diwali,2021,,,
Love Sorries,2021,9.3,101,79
Music Teacher,2019,6.3,101,598
Baiju Bawra,2021,,,
Shukranu,2020,6.4,90,678
Dhira,2020,6.5,117,388
Ekkees Tareekh Shubh Muhurat,2018,5.7,97,394
VanRakshak,2021,8.2,93,32
Bombay Rose,2019,6,97,480
Hungama 2,,,,
Chippa,2019,6.5,90,939
Main Mulayam Singh Yadav,2021,4.2,120,118
Yeh Ballet,2020,7.6,117,1126
Bawri Chhori,2021,5.2,,79
The Cage of Life,2020,7.5,,22
The Wife,2021,4.5,106,235
June,2021,9.4,93,18
RK/RKAY,2021,8.7,95,12
FryDay,2018,5.2,114,783
My Goal football,2021,,,
Singham,2019,5.5,141,96
Penthouse,2021,,,
Veerey Ki Wedding,2018,2.8,131,498
Khaali Peeli,2020,2.3,119,8105
Bamfaad,2020,7.2,102,1533
Sayonee,2020,7.6,111,565
Bhangra Paa Le,2020,6,131,287
Refl3ct,2021,9.3,65,467
Comedy Couple,2020,7.7,117,1661
Afra Tafri,2021,,,
Dombivli Return,2019,4.9,129,46
Scorned,2020,2.5,104,25
The Lift Boy,2019,7.2,107,2375
Jabariya Jodi,2019,4.4,125,1317
Apne 2,2021,,,
Lupt,2018,5.6,110,2027
Ye mard bechara,2021,,,
Adaab Dawood Ibrahim Bol Raha Hoon,,,122,
Sab Kushal Mangal,2020,4.4,132,215
The Last Color,2019,7.9,90,778
Paltan,2018,5.3,150,939
Ek Villain Returns,2022,,,
Yamla Pagla Deewana Phir Se...,2018,4.5,145,1100
